Crop,State,I_E,Model,Value
gro,WV,export,shrs,0.004481597
gro,WI,import,gvty,0.026549439
gro,WI,import,shrs,0.033430055
gro,WI,export,gvty,0.281281111
gro,WI,export,shrs,0.333174242
gro,WY,import,gvty,0.001623335
gro,WY,import,shrs,0.001859401
gro,WY,export,gvty,0.019664907
gro,WY,export,shrs,0.015060485
gro,total,import,gvty,1.075184632
gro,total,import,shrs,1.075184767
gro,total,import,port,1.075184767
gro,total,export,gvty,11.61384418
gro,total,export,shrs,11.61384418
gro,total,export,port,11.61384418
v_f,AL,import,gvty,0.30166439
v_f,AL,import,shrs,0.313840851
v_f,AL,import,port,0.286925156
v_f,AL,export,gvty,0.0010974
v_f,AL,export,shrs,0.003818907
v_f,AK,import,gvty,0.046098088
v_f,AK,import,shrs,0.077484478
v_f,AK,export,gvty,0.00077205
v_f,AK,export,shrs,0.000727361
v_f,AR,import,gvty,0.262433308
v_f,AR,import,shrs,0.256326472
v_f,AR,export,gvty,0.004405728
v_f,AR,export,shrs,0.011904479
v_f,AZ,import,gvty,0.61924537
v_f,AZ,import,shrs,0.456765236
v_f,AZ,import,port,3.443101868
v_f,AZ,export,gvty,0.521770389
v_f,AZ,export,shrs,0.640354448
v_f,AZ,export,port,0.592403341
v_f,CA,import,gvty,3.434229318
v_f,CA,import,shrs,3.729590268
v_f,CA,import,port,5.451577958
v_f,CA,export,gvty,13.83306765
v_f,CA,export,shrs,11.94450631
v_f,CA,export,port,9.675921237
v_f,CO,import,gvty,0.430390695
v_f,CO,import,shrs,0.485888645
v_f,CO,export,gvty,0.048537891
v_f,CO,export,shrs,0.084181853
v_f,CT,import,gvty,0.303221923
v_f,CT,import,shrs,0.292819721
v_f,CT,export,gvty,0.001294042
v_f,CT,export,shrs,0.007580799
v_f,DE,import,gvty,0.15055801
v_f,DE,import,shrs,0.096697238
v_f,DE,export,gvty,0.001850036
v_f,DE,export,shrs,0.010673706
v_f,DC,import,gvty,0.084857045
v_f,DC,import,shrs,0.079922002
v_f,FL,import,gvty,1.730789901
v_f,FL,import,shrs,1.534328827
v_f,FL,import,port,1.721550934
v_f,FL,export,gvty,0.467575218
v_f,FL,export,shrs,1.097622063
v_f,FL,export,port,0.19746778
v_f,GA,import,gvty,0.846049403
v_f,GA,import,shrs,0.972530426
v_f,GA,export,gvty,0.072891444
v_f,GA,export,shrs,0.265973605
v_f,GA,export,port,0.19746778
v_f,HI,import,gvty,0.067123484
v_f,HI,import,shrs,0.110745386
v_f,HI,export,gvty,0.053822535
v_f,HI,export,shrs,0.046355564
v_f,ID,import,gvty,0.102945053
v_f,ID,import,shrs,0.155589634
v_f,ID,export,gvty,0.312945478
v_f,ID,export,shrs,0.368983633
v_f,IL,import,gvty,0.927889183
v_f,IL,import,shrs,1.147851225
v_f,IL,export,gvty,0.01553994
v_f,IL,export,shrs,0.042606043
v_f,IN,import,gvty,0.455757388
v_f,IN,import,shrs,0.546611339
v_f,IN,export,gvty,0.013675552
v_f,IN,export,shrs,0.039260701
v_f,IA,import,gvty,0.301413521
v_f,IA,import,shrs,0.367573056
v_f,IA,export,gvty,9.9061E-05
v_f,IA,export,shrs,0.000262939
v_f,KS,import,gvty,0.274699884
v_f,KS,import,shrs,0.295179162
v_f,KS,export,gvty,0.002203888
v_f,KS,export,shrs,0.005442611
v_f,KY,import,gvty,0.381452734
v_f,KY,import,shrs,0.450500341
v_f,KY,export,gvty,4.97116E-06
v_f,KY,export,shrs,1.6535E-05
v_f,LA,import,gvty,0.36477049
v_f,LA,import,shrs,0.305953091
